title,embedding,spectral_cluster,kmeans_cluster,tsne1,tsne2
Cradle Will Rock,"[-1.0465248823165894, 1.1937488317489624, -0.407421737909317, -0.38154488801956177, 0.7539286613464355, -0.040895767509937286, 0.19010639190673828, -0.2960259020328522, 0.07961467653512955, 0.8166590929031372, 0.6059070229530334, 0.4318179786205292, 0.7056385278701782, 0.7257406115531921, -0.05678136274218559, 0.4400584101676941, -0.39773252606391907, 0.2200370877981186, -0.8862285017967224, 0.15592068433761597, -0.6120722889900208, -0.4195040166378021, -0.9113817811012268, 0.8505885004997253, 0.5348811745643616, 0.12057509273290634, -0.20787900686264038, 0.3692936599254608, -0.0066893924959003925, 0.5961512923240662, -0.409945011138916, -0.9683526754379272, -0.45858481526374817, 0.5504439473152161, 0.17319633066654205, 0.1292153000831604, 0.3520109951496124, -0.8476981520652771, -0.17074967920780182, 0.15327921509742737, -0.25883370637893677, 0.3434102535247803, 1.17472243309021, -0.12994952499866486, 0.23832564055919647, 0.5345423221588135, 0.30156800150871277, -1.1696548461914062, 0.35654425621032715, -0.5624951720237732, -0.7096971869468689, 0.44894054532051086, -0.8268323540687561, 0.23924559354782104, -0.10225740075111389, -0.31023234128952026, 0.24417613446712494, 0.4979787766933441, -0.603816032409668, -0.8586596250534058, 0.036636363714933395, 0.2640085518360138, -0.521307647228241, 0.47287634015083313]",0,3,-0.3897556,18.89077
Crazy/Beautiful,"[-0.6594918966293335, 0.12260831892490387, -0.21527735888957977, 0.3085445761680603, 0.5998114943504333, 0.5716606378555298, 0.2810147702693939, 0.8561102747917175, 0.2869337201118469, -0.050736017525196075, -0.6553285121917725, -0.2909236550331116, -0.13384293019771576, 1.064874529838562, -0.021974721923470497, 0.3025796711444855, -0.1574772298336029, 0.30270519852638245, -0.24123619496822357, 0.17549948394298553, -0.09493265300989151, -0.5410332679748535, -0.7825496196746826, 0.995810866355896, 0.4445902705192566, 0.8451476097106934, -1.3198527097702026, 0.4275929927825928, -0.24407924711704254, 0.767044186592102, 0.004375349264591932, -0.9487345814704895, -0.12149576842784882, 0.18527865409851074, -0.9663988351821899, 0.22214831411838531, 0.993751585483551, -0.19904473423957825, -0.1294877529144287, 0.32498183846473694, 0.3745948076248169, -0.03346669673919678, 0.28099557757377625, -0.2757473289966583, 0.31464675068855286, -0.5326219201087952, 0.032352957874536514, -1.1866865158081055, 0.728990375995636, -0.6953810453414917, -0.22175441682338715, 0.22742368280887604, -0.23337270319461823, 0.6747604012489319, 0.3160451054573059, 0.43303242325782776, -0.9719763994216919, 0.8683615326881409, 0.061508819460868835, -0.4115830659866333, 0.1677037477493286, -0.30137816071510315, -0.7532339096069336, -0.09102541208267212]",0,1,0.44583282,-3.20343
Crimson Tide,"[-0.4654000699520111, 0.8532371520996094, -0.7746486067771912, -0.3512631356716156, 0.10216829925775528, 0.749799370765686, 0.029614347964525223, -0.08915695548057556, 0.2807418704032898, 0.38328149914741516, -0.3233863413333893, 0.5607699155807495, 0.9735050797462463, 0.2984844744205475, 0.0630379170179367, 1.0415959358215332, 0.030698318034410477, 0.1853664517402649, -0.6955344676971436, -0.289097398519516, 0.18372926115989685, -0.23761288821697235, -0.9845705628395081, -0.49732568860054016, 0.16624319553375244, 1.3628560304641724, -0.3507131338119507, -0.10869820415973663, -0.6005686521530151, 1.129294514656067, -0.6588433980941772, -0.40691477060317993, -0.5333523750305176, 0.11058475822210312, -0.39276108145713806, -0.491715669631958, 0.9289334416389465, -0.1074192076921463, -0.4483051300048828, -0.14503926038742065, 0.8563034534454346, 0.590346097946167, 0.44143906235694885, -0.1867750883102417, 0.28506478667259216, 0.24385489523410797, 0.08262690901756287, -0.10771822184324265, 0.07515617460012436, -0.13288958370685577, 0.5687300562858582, 0.6394363045692444, -0.5851460695266724, 0.264404296875, 0.017807612195611, 0.44333696365356445, 0.1412636637687683, 0.616871178150177, 0.2461441308259964, -0.6880248785018921, -0.6036415696144104, 0.7377490997314453, 0.11633311212062836, 0.8746268153190613]",0,0,-16.292067,-3.868663
Cruella,"[-0.9269232153892517, 0.19906528294086456, -0.5333276987075806, 0.09292174130678177, 0.03070538491010666, 0.3133675158023834, -0.4901581406593323, -0.8803468942642212, -0.14816243946552277, 0.3598397970199585, 0.595780611038208, -0.040512654930353165, 0.381449431180954, 0.5019279718399048, 0.572722852230072, -1.0763084888458252, -0.00443477276712656, -0.8108358979225159, -0.9814547896385193, -0.659634530544281, -0.7773995995521545, -0.8800089955329895, -0.029976530000567436, 0.31921181082725525, 0.38943028450012207, 0.45274820923805237, -0.10057631880044937, 0.19398370385169983, -0.4761291444301605, 0.22316142916679382, -0.5238930583000183, -0.3484306037425995, -0.7690896391868591, 0.623808741569519, 0.10203152894973755, -0.06847088038921356, 0.07584035396575928, -0.3544394373893738, -0.6482807993888855, -0.4030954837799072, 0.23559372127056122, 0.5476222634315491, 0.26238569617271423, -0.11314438283443451, 0.7984762787818909, -0.3704383373260498, -0.17483164370059967, -0.2537632882595062, 0.535766065120697, -0.40878796577453613, 0.3199044167995453, 0.3073241412639618, -0.9769574999809265, 0.08528117090463638, -0.2809584438800812, -0.41866371035575867, -0.286928653717041, 0.7808021306991577, 0.03453408181667328, -0.025524912402033806, -0.008491615764796734, -0.15930694341659546, -0.48537707328796387, 1.0817656517028809]",0,0,-12.69926,11.112577
D2: The Mighty Ducks,"[-0.8200497627258301, 1.37917959690094, 0.8221408724784851, 0.14866262674331665, 0.633929967880249, 0.344060480594635, 0.6917514204978943, 0.12300784885883331, 0.19859163463115692, 0.47461453080177307, 0.21786631643772125, 0.10084167122840881, 0.6732191443443298, 0.20194804668426514, 0.2497035264968872, -0.385269433259964, -0.3021342158317566, -0.14049939811229706, -0.21656504273414612, -0.7221152782440186, 0.17311839759349823, -0.2111845165491104, -0.6254783868789673, 0.6425847411155701, -0.39898428320884705, 0.35389968752861023, -0.07362065464258194, -0.17049412429332733, 0.5125324726104736, -0.12029989808797836, -0.23582898080348969, -1.3905928134918213, -0.7115101218223572, 0.3910267949104309, -0.5082979202270508, 0.020020829513669014, 1.1834081411361694, 0.18291769921779633, -0.5407719612121582, -0.029217060655355453, 0.4578414261341095, 0.4773549437522888, 0.09650125354528427, 0.1750643253326416, -0.027930499985814095, -0.5879688262939453, -0.3894430994987488, -0.40926849842071533, 0.9874858856201172, -0.229524165391922, 0.12241551280021667, 0.11260096728801727, -0.6803481578826904, 0.6570214629173279, -0.9704640507698059, 0.48415976762771606, -1.0312944650650024, 0.5578001737594604, 0.021205555647611618, -0.15455657243728638, 0.4454893171787262, -0.31005221605300903, -0.11446522921323776, -0.29278746247291565]",0,0,-21.109316,4.4570236
D3: The Mighty Ducks,"[-1.1517122983932495, 1.2368544340133667, -0.47343137860298157, -0.02134695276618004, -0.0587509386241436, 0.31015917658805847, -0.07024472206830978, 0.23251014947891235, -0.47737306356430054, 0.36351555585861206, 0.047033075243234634, 0.30523955821990967, 1.0913424491882324, 0.16194748878479004, -0.10498329997062683, -0.3771838843822479, -0.383152037858963, 0.30090904235839844, -0.3565804660320282, -0.4001881182193756, -0.010268116369843483, 0.03207821026444435, -0.10393688827753067, 0.7774525880813599, 0.8955978751182556, 1.2455880641937256, -0.6292469501495361, 0.41028550267219543, 0.20111128687858582, 0.37795770168304443, 0.031115366145968437, 0.002484377706423402, -1.205320954322815, -0.5526806116104126, -0.9521026611328125, 0.34616607427597046, 0.6759616136550903, -0.3904153108596802, 0.32206037640571594, -0.0996643677353859, 1.2428624629974365, 0.3963257074356079, 0.7967814803123474, 0.07626023888587952, 0.20531153678894043, -0.9643951654434204, 0.06800193339586258, -0.6614835858345032, -0.0016614362830296159, -0.4368129372596741, -0.007652944419533014, 0.3122994005680084, 0.18811450898647308, 0.3625495433807373, -0.08815114200115204, 0.21382366120815277, -0.08656182140111923, 0.7669583559036255, 0.04026705399155617, -0.6519873142242432, 0.40734076499938965, 0.10512654483318329, -0.2581886053085327, -0.21182918548583984]",0,0,-4.3518815,-6.435126
Dan in Real Life,"[-0.8815041184425354, 0.6674483418464661, -0.7664521932601929, -0.33169639110565186, 0.5707765221595764, 0.4426693320274353, -0.3436834216117859, -0.897425651550293, -0.017486339434981346, 0.2439294010400772, 0.08978225290775299, -0.3648577630519867, 0.8875794410705566, 0.6340207457542419, 0.4289320707321167, 0.25888296961784363, 0.11616659164428711, 1.3243420124053955, -1.3320934772491455, -0.284335732460022, 0.24493248760700226, -1.2676966190338135, -0.5329356789588928, 0.2354748398065567, 0.11573659628629684, 0.9429841041564941, -0.16642823815345764, 0.0015743538970127702, 0.06636576354503632, 0.5044069290161133, 0.2100517451763153, -0.40335357189178467, 0.04908086732029915, 0.32447549700737, 0.4724576771259308, -0.22768187522888184, 0.42819175124168396, -0.11573810875415802, 0.3212890923023224, 0.12252119928598404, 0.13048617541790009, 0.3069347143173218, 0.5601171255111694, -0.5482774376869202, 0.49261945486068726, -0.2877000868320465, -0.02433963678777218, -0.38353514671325684, -0.3677029311656952, -0.21403835713863373, -0.3632555902004242, 0.6985642910003662, -0.6122497916221619, -0.3589199185371399, 0.2398810237646103, 0.6129316687583923, -0.24056486785411835, 0.5817664861679077, 0.8440512418746948, -0.6110529899597168, 0.07129067927598953, 0.3821406364440918, -0.4113383889198303, 0.6123611330986023]",0,0,-3.4593163,25.004364
Dangerous Minds,"[-0.8029856085777283, 1.0541399717330933, -0.17808625102043152, 0.33709681034088135, -0.2559162974357605, 0.17145034670829773, 0.6066680550575256, -0.1961844563484192, 0.1884935349225998, 0.7387354373931885, -0.8241870403289795, -0.39612269401550293, 0.42623427510261536, 0.03838415443897247, -0.349387526512146, -0.18250836431980133, 0.22570863366127014, -0.45356515049934387, 0.16098065674304962, -0.015588895417749882, -0.4546853303909302, -1.007131814956665, -0.6118407249450684, 0.9596254825592041, 0.28081175684928894, 0.5136107802391052, -0.5006660223007202, -0.5540774464607239, -0.22303761541843414, 0.2774278223514557, -0.47609588503837585, -0.7300733327865601, -0.6921377778053284, 0.03437963128089905, 0.17116297781467438, -0.33480972051620483, 1.319683313369751, 0.1981784701347351, -0.7642446160316467, 0.11879722774028778, 0.5668641328811646, 0.3294229805469513, 0.32356467843055725, 0.7709014415740967, -0.2395893931388855, -0.2032899558544159, -0.27451571822166443, -1.4303948879241943, 0.07977568358182907, -0.7083296179771423, -0.4881036877632141, -0.09210838377475739, -0.9535460472106934, -0.059800051152706146, 0.21383501589298248, 0.3902413547039032, 0.03781618922948837, 0.7156579494476318, -0.7329380512237549, -0.3863004446029663, -0.28981977701187134, 0.37033331394195557, -0.646966814994812, 0.11321454495191574]",0,1,-1.5836911,0.44951302
Dark Water,"[-0.8464954495429993, 0.7240536212921143, -0.5617733597755432, -0.6814115047454834, -0.05935925245285034, 0.1551796942949295, -0.4543711543083191, 0.30389752984046936, 0.3704710900783539, 0.19001494348049164, 0.13647405803203583, 0.05076558142900467, -0.005014317110180855, 0.178425595164299, 0.21457232534885406, 0.041367776691913605, -0.15407012403011322, 0.7973970174789429, -0.623158872127533, 0.1450183391571045, 0.2685493230819702, -0.2847485840320587, -0.6842631697654724, 0.6166436076164246, 1.1237119436264038, 0.7107130289077759, -0.14626474678516388, 0.22799044847488403, -0.172515869140625, 0.5118710994720459, -0.0025441308971494436, -0.26209208369255066, -0.9871307611465454, -0.1142437532544136, -0.590915858745575, -0.0801168903708458, 0.7562649846076965, -0.44992268085479736, -0.2236836701631546, -0.24820640683174133, 0.4069620668888092, 0.816960334777832, 0.9571565985679626, -0.6044867634773254, 1.0482312440872192, -0.36002063751220703, -0.3211860656738281, 0.12711243331432343, 1.1135356426239014, -0.07162762433290482, -0.0637362152338028, 0.7059337496757507, -0.24478106200695038, 0.20222537219524384, -0.6071155667304993, 0.2084587663412094, 0.28239706158638, 0.9057548642158508, -0.35423386096954346, -0.20252086222171783, -0.4252178370952606, 1.734374761581421, 0.1616632342338562, 0.5436214804649353]",0,1,4.0814114,14.760748
Dead Poets Society,"[-0.981113612651825, 0.4957927167415619, -0.6274755597114563, -0.1270441710948944, 0.21234466135501862, 0.5622431039810181, 0.43971651792526245, -0.27230915427207947, -0.21229468286037445, 0.30938971042633057, -1.191686749458313, 0.7398831844329834, 0.5156514644622803, 0.6652219295501709, 0.724018931388855, -0.09249629825353622, -0.4516453146934509, 0.9084221124649048, -0.9421259164810181, 0.4123265743255615, 0.2693319022655487, -0.26830917596817017, 0.4571511447429657, 0.4793967604637146, 1.572156548500061, 0.920788049697876, -0.2902185022830963, -0.16600321233272552, 0.01914704218506813, 0.6886345148086548, -0.25854653120040894, -0.5220504403114319, -0.3337705433368683, -0.5809324979782104, 0.23935317993164062, -0.3342154622077942, 0.7562507390975952, -0.23615024983882904, -0.03821864351630211, 0.4695645868778229, -0.0014060093089938164, 0.4280465543270111, 0.4446483552455902, 0.4173208475112915, -0.2953961491584778, -0.26009026169776917, 0.39270561933517456, 0.009597858414053917, 0.7603321075439453, -0.8693826198577881, -0.03600877895951271, 0.7455974817276001, -0.16779698431491852, 0.22841019928455353, -0.9108423590660095, -0.02011321671307087, 0.36776262521743774, 0.4739229679107666, 0.13679206371307373, 0.20396633446216583, 0.4096612334251404, 0.6098688840866089, 0.0912003144621849, 0.49112409353256226]",0,0,-6.839222,-18.304644
Dead Presidents,"[-0.8277296423912048, 0.5069119334220886, -0.7098623514175415, -0.3321111798286438, -0.41300326585769653, -0.025005321949720383, 0.1817474514245987, -0.21755202114582062, 1.1100560426712036, 1.3750371932983398, -0.4334729313850403, 0.6187530159950256, 0.3320486843585968, 0.6383030414581299, -0.31277453899383545, -1.3627978563308716, -0.5532644987106323, -0.016756286844611168, -0.33135977387428284, 0.5774913430213928, -0.8554860353469849, -0.815579891204834, -0.519109845161438, 0.6524182558059692, 0.42818203568458557, 0.22446860373020172, 0.5663388967514038, 0.423784077167511, 0.03240150585770607, 0.8044322729110718, -0.18726469576358795, -0.6418036222457886, -0.3765088617801666, -0.06752043962478638, 0.4471987783908844, 0.06862830370664597, 1.300714135169983, -1.043878436088562, -0.1780851185321808, 0.632952094078064, 0.5335150361061096, 0.48911333084106445, 0.5818437933921814, -0.5239537954330444, -0.2046235054731369, -0.6171640157699585, -1.0427809953689575, -0.6531845331192017, 0.1776321977376938, -0.4841679036617279, 0.6220578551292419, 0.42981722950935364, -0.5850796699523926, 0.07524297386407852, -0.16719798743724823, 0.6349607110023499, 0.24786292016506195, 0.29488706588745117, 0.5931916236877441, -0.26699575781822205, -0.07958437502384186, 0.7112047076225281, -0.010607104748487473, 0.5814671516418457]",0,1,17.167107,6.6109567
Deceived,"[-0.8570815920829773, 0.6519428491592407, -0.17289263010025024, -0.4494464099407196, 0.4930498003959656, 0.770300030708313, -0.023818854242563248, -0.46247875690460205, 0.2618410289287567, 0.14967982470989227, 0.01613827608525753, -0.2022276669740677, 0.2981824576854706, 0.5523574948310852, 0.2074081152677536, -0.3444119095802307, 0.5318660736083984, -0.08509168773889542, -1.1739501953125, 0.09357253462076187, 0.1540832817554474, -0.28371113538742065, -0.37599414587020874, 0.5749447345733643, -0.21978570520877838, 0.9008729457855225, -0.045664381235837936, -0.07594163715839386, 0.34182095527648926, 0.7369769811630249, -0.2825765907764435, -0.43039023876190186, -0.5909536480903625, 0.14022402465343475, 0.005640978459268808, 0.4426920413970947, 0.4059876501560211, -1.1182520389556885, 0.11783039569854736, 0.33315154910087585, 0.4227895438671112, 0.9657695293426514, 0.4903331398963928, 0.5647974610328674, 0.15415431559085846, -0.41489169001579285, -0.4349557161331177, -0.9656195640563965, 0.7924090027809143, -0.5322290062904358, 0.6845232248306274, -0.27912384271621704, -0.7408949732780457, 0.1662720888853073, -0.3460693657398224, -0.18836848437786102, -0.6567806005477905, 0.9033157825469971, 0.3742922842502594, -0.1356947273015976, -0.4065038561820984, 0.015969756990671158, -0.6992222666740417, -0.23363719880580902]",0,0,14.974032,9.318981
Deep Rising,"[-1.0468344688415527, 0.38846006989479065, -0.344420850276947, 0.3532533049583435, -0.310800701379776, 0.0899200364947319, 0.30500853061676025, -0.8451181054115295, 0.17487367987632751, -0.003200812265276909, -1.0042794942855835, -0.5043224096298218, 1.1080310344696045, 0.6815691590309143, -0.5283017158508301, -0.6097694635391235, -0.19207698106765747, 0.13978880643844604, -0.34896835684776306, 0.12740851938724518, -0.5902276039123535, -0.013192223384976387, -0.489157497882843, 0.6713062524795532, 0.10220993310213089, 0.23747187852859497, -0.4651202857494354, -0.08026096969842911, 0.0051995981484651566, 0.8579895496368408, -0.189715176820755, -0.8491572737693787, -0.25653284788131714, 0.41730427742004395, -0.0383823923766613, -0.03808470442891121, 0.7399161458015442, -0.8380426168441772, 0.629252552986145, 0.3305952847003937, 0.8046593070030212, 0.1282699704170227, 0.05859427526593208, 0.0344882495701313, 0.14265425503253937, -0.323047935962677, 0.8923380970954895, -0.22699074447155, 0.26975753903388977, 0.01819033920764923, 1.032607913017273, 0.21221505105495453, -0.554446816444397, -0.006563239265233278, -0.6327711343765259, -0.31305021047592163, -0.3301559388637543, -0.0621163584291935, 0.2424570620059967, -0.951687753200531, -0.8186771869659424, 1.0785019397735596, -0.42073628306388855, 0.011686253361403942]",0,3,-20.37235,11.3593025
Déjà Vu,"[-0.6560298204421997, -0.11659204959869385, -1.2196943759918213, 0.08309106528759003, 0.3425884246826172, -0.016583411023020744, -0.3103688359260559, 0.46663564443588257, -0.13536784052848816, 0.7495130896568298, -0.34295690059661865, 0.1613822877407074, 0.5573318600654602, 0.5364750623703003, 0.23798730969429016, -0.5696054100990295, -0.4812465310096741, 0.84876948595047, -0.38291555643081665, 0.6135016679763794, -0.34918150305747986, -0.5586846470832825, -0.20377135276794434, 1.0382241010665894, 0.40884271264076233, 0.8399953246116638, -0.6720190048217773, -0.26621726155281067, -1.1392793655395508, 0.06050528958439827, -0.43853244185447693, -0.13045960664749146, -0.8962293267250061, 0.0748501569032669, 0.33262908458709717, 0.8377165794372559, 1.1862075328826904, -0.0711958184838295, -0.5565357208251953, 0.17682306468486786, -0.09397860616445541, 0.9090715646743774, 0.6132351160049438, -0.6939027309417725, -0.0711623951792717, -0.11773055046796799, -0.7175326347351074, -0.6464026570320129, 0.7223688364028931, -0.8463901877403259, -0.030331946909427643, -0.05435394495725632, -0.9851223230361938, 0.09788242727518082, 0.19165778160095215, 0.883109986782074, -1.1341636180877686, -0.23077890276908875, -0.5378354787826538, -0.20924249291419983, 0.22603724896907806, 0.4111822843551636, 0.08134397119283676, 0.22045546770095825]",0,1,1.0106212,-6.574125
Delivery Man,"[-1.1916645765304565, 0.6569532752037048, -0.30474433302879333, -0.5275121331214905, 0.20269441604614258, 0.7151322364807129, 0.265627384185791, 0.11654126644134521, 0.3640335202217102, 0.3981710374355316, 0.5868983268737793, 0.08921797573566437, 0.2881261110305786, 0.09895128011703491, -1.0876109600067139, -0.13832847774028778, 0.007439613342285156, -0.17722944915294647, 0.22444678843021393, 0.719057559967041, -0.8181216716766357, -0.18063229322433472, -0.3775085508823395, 0.007966924458742142, 0.30988192558288574, 0.4968094229698181, -0.6725164651870728, -0.7451829314231873, -0.4213368594646454, 0.7713284492492676, 0.05468394234776497, -0.2854160964488983, -0.18315646052360535, 0.2124267965555191, -0.8076539635658264, -0.8625945448875427, 0.690544068813324, 0.07871397584676743, -0.7594387531280518, 0.130984365940094, 0.6227909326553345, 0.7514061331748962, 0.3203467130661011, 0.15323388576507568, 0.5909736156463623, -1.0034269094467163, 0.3623751401901245, 0.09310264140367508, 0.2825068533420563, -0.8228024840354919, 0.12269256263971329, -0.013893580064177513, -1.241750717163086, 0.5366111993789673, -0.6309861540794373, -0.4580708146095276, -0.05268555134534836, 1.122694492340088, 0.15036022663116455, -0.6129434108734131, -0.49872198700904846, 0.7226717472076416, -0.05593906342983246, 0.7619733810424805]",0,0,3.5723345,17.10704
Deuce Bigalow: Male Gigolo,"[-0.8245453238487244, -0.4962182641029358, 0.3853767514228821, 0.004662266932427883, 0.44379115104675293, 0.7274523973464966, 0.35368266701698303, 0.20785169303417206, 0.13131819665431976, 0.16087105870246887, 0.19520360231399536, -0.30376681685447693, 0.48978549242019653, 0.9414255023002625, -0.326852023601532, -0.032123416662216187, -0.025839949026703835, -0.08581987768411636, -1.1346460580825806, -0.30404379963874817, -0.4416176676750183, -0.41164398193359375, -0.7442815899848938, 0.6057958602905273, 0.9435058832168579, 1.0646183490753174, -0.5673102140426636, -0.5620879530906677, -0.6226415038108826, 0.4291354715824127, -0.4171821177005768, -0.8531649708747864, -0.6630154252052307, -0.36991527676582336, 0.24091093242168427, -0.6239912509918213, 0.9321566820144653, -1.0954357385635376, 0.3191164433956146, 0.5216437578201294, 0.3080050051212311, 0.009919464588165283, 0.7774022817611694, 0.19796127080917358, 0.09554538130760193, 0.08529520034790039, -0.6590076684951782, 0.5725113153457642, -0.31404775381088257, -0.20459748804569244, 0.6423328518867493, -0.27722296118736267, 0.07039245963096619, 0.7612035870552063, -0.778104305267334, -0.18890643119812012, -0.6424368619918823, 0.9074864983558655, -0.11841987818479538, -0.6932753324508667, 0.3076874613761902, 0.0742020308971405, -0.49266958236694336, -0.0984274297952652]",0,0,-16.938663,2.87472
Dick Tracy,"[-0.9495216608047485, 0.6975809931755066, -0.9483562707901001, -0.5361707210540771, -0.21709126234054565, 0.7474623918533325, -0.08355717360973358, -0.020201560109853745, 0.7224359512329102, 0.41160544753074646, 0.1879531890153885, 0.2164137363433838, 0.7806597948074341, 0.456080824136734, 0.2638825476169586, -0.9500954747200012, -0.7833260893821716, 0.7616941928863525, -0.7718142867088318, -0.3060259222984314, 0.208452507853508, -1.2610422372817993, -0.3925980031490326, 0.3657311797142029, -0.5227484703063965, 0.9886612296104431, -0.12334063649177551, -0.018148604780435562, -0.04364347830414772, 0.1635465919971466, -0.5679255723953247, 0.12332448363304138, -0.20515073835849762, -0.20103487372398376, 0.49156105518341064, -0.28421786427497864, 0.9389833211898804, -0.3985012173652649, 0.02460341341793537, 0.3446146845817566, 1.1721782684326172, 0.10692767053842545, 0.5840801000595093, -0.10767625272274017, 1.1382511854171753, -0.36273279786109924, -0.5595303177833557, -0.33740779757499695, 0.15529388189315796, -0.21306245028972626, 0.27534645795822144, 0.64482581615448, -0.2046288102865219, 0.7214845418930054, -0.8712195158004761, 0.6416900157928467, 0.35067009925842285, 0.27516335248947144, -0.1358189731836319, -0.37976959347724915, 0.30391615629196167, 0.6189671158790588, -0.4821655750274658, 0.3476128578186035]",0,0,6.1548185,6.9110804
Dinosaur,"[-0.7217220067977905, 0.9362031817436218, -0.2858123779296875, 0.5404560565948486, 0.36983782052993774, 0.8158034086227417, 0.07202823460102081, -0.010159282945096493, -0.2938016355037689, 0.2455749213695526, -0.5997582674026489, -0.428401380777359, 0.24617570638656616, 0.771122932434082, 0.26313358545303345, -0.2849959433078766, -0.4299531579017639, -0.2277381420135498, -0.15545983612537384, -0.0027085328474640846, -0.47445130348205566, 0.11151508241891861, -0.039692819118499756, 1.7702664136886597, -0.008818887174129486, 0.5484977960586548, -0.720246434211731, 0.04350961744785309, 0.25523728132247925, 0.7951269149780273, -0.07178153097629547, -0.8261904120445251, -0.29211291670799255, -0.35669583082199097, -0.12227644771337509, 0.2666923701763153, 0.5247594118118286, -0.8069086670875549, 0.07352219521999359, -0.599025309085846, 0.19964341819286346, 1.5113309621810913, 0.6367311477661133, -0.1239856407046318, 0.40942227840423584, -0.16270293295383453, -0.6484742760658264, -0.29561543464660645, 0.35747718811035156, -0.6203412413597107, 0.9546383023262024, 0.6103715300559998, -0.3817702829837799, 0.7560175061225891, -0.04918899014592171, 0.990309476852417, -0.8243224024772644, 0.3363918364048004, 0.21591423451900482, -0.23469725251197815, -0.06082000583410263, 0.6933322548866272, -0.48390382528305054, 0.25487998127937317]",0,1,12.503423,-7.911158
Disorganized Crime,"[-1.116144061088562, 0.05516427382826805, 0.035797540098428726, 0.12315209209918976, 0.29451751708984375, 0.18519897758960724, 0.08949391543865204, 0.46288803219795227, 0.26309311389923096, 0.9565699100494385, -0.5171750783920288, -0.0927010029554367, 0.3835375905036926, 1.0909103155136108, -0.27309897541999817, -0.8307890295982361, -0.46748921275138855, -0.23731423914432526, -0.5729411840438843, 0.7928597927093506, 0.11273035407066345, 0.21727396547794342, -0.006485944613814354, 0.40111392736434937, -0.018899211660027504, 0.5833672285079956, -0.7848867177963257, 0.3895076811313629, -0.589401364326477, -0.0833611935377121, -0.15863975882530212, -1.1777045726776123, -0.1576220989227295, 0.17975187301635742, 0.35426512360572815, 0.48443251848220825, 1.2012684345245361, -0.21850784122943878, 0.2916852831840515, 0.17486710846424103, 0.20497336983680725, -0.13018542528152466, 0.9859454035758972, -0.2342229038476944, 0.23622000217437744, -1.539933443069458, 0.022360941395163536, 0.40532389283180237, 0.004284843802452087, -0.6816322207450867, -0.22757624089717865, 0.7116057276725769, -1.3031169176101685, 0.464806467294693, -0.4209706485271454, 0.2966984212398529, 0.5437495112419128, 0.8290344476699829, 0.019968075677752495, -0.4790789783000946, -0.001080065849237144, -0.15484288334846497, -0.4386664628982544, 0.09372065216302872]",0,4,-4.9498534,5.702194
DOA,"[-0.726304292678833, 0.9110338091850281, -0.3103157579898834, 0.035972412675619125, 0.9724180102348328, 0.09636799246072769, 1.0738177299499512, -0.02973952703177929, 0.4281095564365387, 0.10891064256429672, 0.4480455219745636, -0.3412122130393982, 0.3411886990070343, 0.8676823377609253, 0.5339075922966003, -0.06338846683502197, -0.6979856491088867, 0.1607787013053894, -0.6031002402305603, -0.169157475233078, -0.31512486934661865, -0.20789796113967896, 0.3856423497200012, -0.1469637155532837, 0.591757595539093, 1.4258981943130493, -0.19995802640914917, -0.26800283789634705, -0.08780648559331894, 0.8257150053977966, -0.056374989449977875, -0.5264190435409546, 0.08354171365499496, 0.5916889309883118, 0.0631827637553215, -0.07426343858242035, 1.0580304861068726, -0.6089896559715271, -0.28710198402404785, 0.23191779851913452, 0.7170605659484863, 0.6219363808631897, 0.11941926926374435, 0.7217463254928589, 0.7086573839187622, -0.2739807963371277, -0.9351722598075867, -0.051339518278837204, 0.5093747973442078, 0.27222079038619995, 0.5347777009010315, 0.4498192071914673, -0.776768147945404, 0.024598808959126472, -0.218748077750206, -0.1854497194290161, 0.8212340474128723, 1.085595965385437, 0.4087078869342804, -0.6558473706245422, 0.11182315647602081, 0.31320396065711975, -0.6568114757537842, -0.48089712858200073]",0,0,7.5819993,25.41505
Doctor Strange,"[-1.0295131206512451, -0.20794977247714996, -0.7264435291290283, 0.5263009667396545, 0.2667449116706848, 0.8120736479759216, 0.3036022186279297, -0.08627092093229294, -0.7170400619506836, 0.5645479559898376, -0.27647608518600464, 0.24023061990737915, 0.5640223622322083, 0.8928423523902893, -0.3848974108695984, 0.14727601408958435, 0.16406682133674622, 0.18164187669754028, -0.438668817281723, 0.4294466972351074, -0.22427089512348175, -0.453139066696167, 0.040880125015974045, 0.06227293610572815, -0.2183074951171875, 1.0609922409057617, -0.25931644439697266, -0.20012111961841583, -0.6594948172569275, 0.8859618306159973, 0.19521422684192657, -0.34941425919532776, 0.6898334622383118, 0.005299781449139118, -0.8662407994270325, 0.12021806091070175, 1.434104084968567, -0.39864909648895264, 0.15742608904838562, -0.4853517711162567, -0.42925360798835754, 0.37798362970352173, 0.8041071891784668, 0.2652656137943268, 0.5642766952514648, 0.1854802370071411, 0.08080852031707764, -0.9035236239433289, 0.22658491134643555, -0.4215918779373169, 0.1366649717092514, 0.26635512709617615, -0.6323790550231934, 0.5566641092300415, -0.5599324107170105, 0.5327511429786682, 0.019911708310246468, 0.7141991257667542, 0.33990365266799927, 0.1312655806541443, -0.07692427933216095, 0.7557686567306519, -0.9108363389968872, 0.6483626961708069]",0,1,10.428016,-3.2980504
