title,embedding,spectral_cluster,kmeans_cluster,tsne1,tsne2
A Christmas Carol,"[-1.1299629211425781, 0.40270304679870605, -0.5349201560020447, -0.05978807806968689, 0.3670625686645508, 0.3929811120033264, 0.2211368978023529, -0.11211130023002625, 0.0786091610789299, 0.45866841077804565, -0.15185999870300293, 0.2361370474100113, 0.025542205199599266, 0.8925350904464722, -0.10397356003522873, -0.7098957300186157, -0.39050984382629395, 0.429159015417099, -1.0030254125595093, -0.13223455846309662, -0.4043211340904236, -0.691777229309082, 0.5071025490760803, 0.46147140860557556, -0.17510384321212769, 1.4006271362304688, -0.46390500664711, -0.07335633784532547, -0.38710981607437134, 0.6655836701393127, -0.7152665853500366, -0.3736240565776825, 0.05586506053805351, 0.285743772983551, -0.23241794109344482, -0.07050559669733047, 0.6811097860336304, -0.7651528716087341, -0.8485775589942932, 0.24468277394771576, 0.10930135101079941, 0.29086145758628845, 0.5324063897132874, 0.06031873822212219, 0.2925298511981964, -0.21701955795288086, -0.32664477825164795, -0.5828421115875244, 0.2543222904205322, -0.17228800058364868, -0.2276068776845932, -0.14832152426242828, -1.0563549995422363, 0.36368080973625183, -0.9747244715690613, 0.7926225066184998, -0.03673774003982544, 0.19727608561515808, -0.3628644049167633, -0.2862263321876526, -0.14673709869384766, 0.915855348110199, -0.1349869668483734, 0.5038052201271057]",0,1,7.6141996,-2.6035337
A Civil Action,"[-1.0728257894515991, 0.6418877840042114, -0.45728424191474915, 0.42020383477211, -0.08044034987688065, 0.14889968931674957, 0.0916326567530632, -0.49368607997894287, -0.09421351552009583, 0.29285675287246704, -0.32108616828918457, -0.20466114580631256, 0.6009357571601868, 0.3721020221710205, -0.01956235244870186, -0.2141803354024887, -0.15066716074943542, 0.7256935834884644, -0.4757381081581116, 0.16338889300823212, 0.06947089731693268, -0.5136904120445251, -0.2607000172138214, 0.3874863088130951, 0.2501475214958191, 1.0198594331741333, -0.3417325019836426, -0.2761203348636627, -0.4563486874103546, 0.7750117778778076, -0.5949349403381348, -0.6462697386741638, -0.06385979056358337, 0.1317632496356964, 0.08773906528949738, -0.029392778873443604, 0.98118656873703, -0.49775779247283936, -0.2481336146593094, 0.37798911333084106, 0.3761361241340637, 0.770092248916626, 0.8999704122543335, 0.04631156846880913, -0.05412638559937477, -0.2187846451997757, -0.01235198974609375, -0.3733835518360138, 0.34300968050956726, -0.8258998990058899, 0.18745221197605133, -0.058887019753456116, -1.0385301113128662, -0.23198920488357544, -0.36935827136039734, 0.37553080916404724, -0.9543863534927368, 0.33479025959968567, 0.12959791719913483, -0.31793326139450073, -0.29863154888153076, 0.7518616318702698, -0.3242187201976776, 0.22202137112617493]",0,1,4.541417,0.00012325174
A Far Off Place,"[-1.0992722511291504, 0.42902863025665283, -0.27713125944137573, 0.10148446261882782, 0.11936294287443161, 0.7730648517608643, 0.38292795419692993, -0.5361288189888, -0.33595582842826843, 0.38924887776374817, -0.49930548667907715, -0.31723928451538086, 1.0546600818634033, 0.7346664071083069, 0.19367557764053345, -0.6657869219779968, -0.2654252052307129, 0.19611862301826477, -0.39812541007995605, -0.16450034081935883, 0.06879926472902298, -0.878997266292572, -0.034282926470041275, 0.5440819263458252, 0.1398177146911621, 0.6423416137695312, -0.18140846490859985, 0.3107786178588867, -0.1668735146522522, 0.7995558977127075, -0.07757249474525452, -0.8325804471969604, -0.9186395406723022, 0.09344460070133209, -0.09518223255872726, -0.16301229596138, 0.6840538382530212, -0.5655089616775513, -0.54827481508255, -0.11504749208688736, 0.5594594478607178, 0.2637177109718323, 0.8194933533668518, 0.2016538381576538, 0.5812927484512329, -0.5335487127304077, 0.6244761943817139, -0.5185909867286682, 0.7228521704673767, -0.37063273787498474, -0.011233248747885227, -0.38319551944732666, -0.3391982316970825, 0.673029899597168, -0.4873751699924469, 0.3540419340133667, 0.001991445664316416, 0.4473726153373718, -0.5464845895767212, -0.5627207159996033, -0.26820218563079834, 0.2734806537628174, -0.5419528484344482, 0.7075777649879456]",0,0,2.2172925,1.9087993
A Goofy Movie,"[-1.4515879154205322, 1.1997724771499634, -0.1662280261516571, 0.9353542327880859, 0.500731885433197, 0.06551365554332733, 0.342257559299469, -0.6634683609008789, -0.21374747157096863, 0.18117566406726837, -0.22558903694152832, -0.5346469879150391, 0.7205479741096497, 0.49086764454841614, -0.32804998755455017, -1.1685782670974731, -0.15075929462909698, -0.5526133179664612, -0.5000528693199158, -0.16438458859920502, 0.07755681872367859, -0.6857959628105164, -0.37506216764450073, -0.2897680401802063, 0.4072689116001129, 0.8692114353179932, -0.16254405677318573, 0.13317005336284637, -0.5807923674583435, -0.5207450985908508, -0.7930179834365845, 0.08759436011314392, -1.1497772932052612, 0.5868866443634033, -0.323708176612854, -0.36587074398994446, 1.120492935180664, -0.7749688625335693, 0.7810999751091003, 0.12572140991687775, -0.23443655669689178, 0.6445503830909729, 0.12606394290924072, -0.47732028365135193, 0.7320552468299866, -1.0423784255981445, -0.0026564381550997496, 0.9287676215171814, 0.4250185489654541, -0.4227651059627533, 0.1615501195192337, 0.512164294719696, -0.5885890126228333, 0.4304540455341339, -0.6945081353187561, -0.05784618854522705, -0.5239799618721008, 0.6953811645507812, 0.8377277255058289, 0.09118793159723282, 0.33400553464889526, 0.633994996547699, -0.12504391372203827, 0.28945139050483704]",0,4,-13.766451,-11.342387
A Kid in King Arthur's Court,"[-1.0468629598617554, 0.6369468569755554, -0.36703091859817505, 0.3684583306312561, 0.5145117044448853, 0.35892191529273987, 0.43559154868125916, 0.08344273269176483, -0.5955864191055298, 0.0336344875395298, -0.11837108433246613, -0.46121999621391296, 0.5801429152488708, 0.020584475249052048, -0.6452762484550476, -0.7825312614440918, -0.39564886689186096, 0.336757093667984, -0.09739219397306442, -0.5713489651679993, 0.18421009182929993, -1.111738920211792, 0.7887291312217712, 0.6374629735946655, -0.06543368846178055, 0.20921342074871063, -0.3735401928424835, -0.4615505337715149, -0.12638084590435028, -0.2929726243019104, -0.10846243053674698, -0.4365912675857544, -0.6513094305992126, 0.22664248943328857, -0.385155588388443, 0.4343271255493164, 0.9490970969200134, -0.1622280478477478, 0.16221153736114502, -0.1930646151304245, -0.27937769889831543, 1.1584081649780273, 0.27643489837646484, 0.02808796428143978, 0.11100391298532486, -1.064714789390564, 0.17529058456420898, 0.4271219074726105, 0.8620598316192627, -0.40437695384025574, -0.09982549399137497, 0.02389988675713539, -0.6914212107658386, 0.2867090404033661, -0.49418339133262634, 0.5227833390235901, -0.9477046728134155, 0.7257717847824097, 0.5834135413169861, -0.16463512182235718, -0.3452228307723999, 0.9115733504295349, -0.17017334699630737, -0.07299263775348663]",0,4,-10.970081,-11.249368
A Lot Like Love,"[-1.000704050064087, 0.5137986540794373, -0.3424625098705292, -0.6180443167686462, 0.38210034370422363, 0.08746118098497391, 0.6004626750946045, -0.18947091698646545, -0.45513489842414856, -0.025912215933203697, 0.4477654695510864, 0.1613537222146988, 0.3934698700904846, 0.6327988505363464, 0.22992320358753204, -0.8509184122085571, -0.08183050155639648, 0.5998281836509705, -0.4402257204055786, 0.001576294656842947, -0.25883904099464417, -0.4112076759338379, -0.46760597825050354, 0.5463439226150513, 0.25417232513427734, 0.971147894859314, 0.11140028387308121, -0.4318324327468872, -1.1890523433685303, 0.40824782848358154, -0.584726870059967, -0.5075093507766724, -0.05902103707194328, 0.10970931500196457, -0.18217507004737854, 0.0002804334508255124, 1.3933227062225342, -0.12276428937911987, -0.21519172191619873, 0.7396180629730225, -0.3991383910179138, 0.5070591568946838, 0.36220571398735046, 0.33487576246261597, 0.5550554394721985, -0.5344414710998535, 0.6086574792861938, -0.511346161365509, 0.04408514127135277, -0.500562310218811, -0.5621916055679321, -0.10241789370775223, -1.0461071729660034, -0.3237186670303345, -1.0842410326004028, -0.08875884860754013, 0.24780477583408356, 0.45606815814971924, -0.09407833963632584, -0.630131721496582, 0.11720163375139236, 0.09791766107082367, -0.567228376865387, 0.2526000142097473]",0,0,2.2141073,20.8024
A Low Down Dirty Shame,"[-1.0942198038101196, 0.6644307374954224, -0.7334432005882263, -0.0372067354619503, 0.1000848263502121, 0.6083232164382935, -0.028602616861462593, -0.1968357264995575, -0.10813646763563156, 0.24602553248405457, 0.11364487558603287, 0.23577669262886047, 0.4944874048233032, 1.0862281322479248, -0.3538711667060852, -0.5253672003746033, -0.3432433605194092, 0.5349955558776855, -0.6177788376808167, -0.04509531706571579, -0.32066336274147034, -0.7073314785957336, -0.06529336422681808, 0.2693294882774353, -0.006785907782614231, 0.771948516368866, -0.35285264253616333, -0.026176556944847107, -0.22282131016254425, 0.5625717043876648, -0.39828211069107056, -0.31065091490745544, -0.22145161032676697, 0.1713610589504242, -0.07252262532711029, -0.12735605239868164, 1.0806643962860107, -0.865263044834137, -0.296886682510376, 0.39703884720802307, 0.15997223556041718, 0.5011439323425293, 0.5168079733848572, -0.3968309164047241, 0.412894070148468, -0.6149246692657471, -0.15248583257198334, -0.19994433224201202, 0.4096046984195709, -0.5898512601852417, 0.5003259181976318, 0.2536572813987732, -0.8398366570472717, 0.05288439616560936, -0.14279654622077942, 0.3079727590084076, -0.3635009527206421, 0.5605199337005615, -0.0510886013507843, -0.8257391452789307, 0.01945718377828598, 0.6438152194023132, -0.3493460714817047, -0.06368248909711838]",0,0,4.184863,3.6738641
A Pyromaniac's Love Story,"[-1.2161537408828735, 0.356197714805603, -0.00825193990021944, 0.6245748400688171, -0.02272331900894642, 0.4701734483242035, 0.6038001179695129, -0.26204535365104675, -0.20616868138313293, 0.36993032693862915, -0.06435463577508926, -0.7929044365882874, 0.44006308913230896, 0.8799735903739929, -0.7323876023292542, -0.9168031811714172, 0.4260081946849823, 0.24308651685714722, -0.4006690979003906, -0.011983687058091164, -0.5934761762619019, -0.251422256231308, -0.12009045481681824, 0.3205075263977051, 0.5547042489051819, 1.1549713611602783, -0.478664368391037, 0.231095090508461, -0.5193869471549988, 0.6042526960372925, -0.4346051812171936, -0.441252738237381, -0.5261355638504028, 0.23391054570674896, 0.10782027244567871, -0.08064401149749756, 1.6050437688827515, 0.12826856970787048, 0.08669120073318481, 0.12879545986652374, 0.643562376499176, 0.23745092749595642, 0.8508676886558533, 0.38599562644958496, 0.5462608933448792, -0.45378679037094116, -0.0004758650029543787, 0.2538144588470459, 0.41604724526405334, -0.823569655418396, 0.18529671430587769, 0.049399930983781815, -0.5052451491355896, 0.35343948006629944, 0.260425329208374, 0.4364543855190277, -0.3965066075325012, 0.15638692677021027, 0.06795015186071396, -0.4859856069087982, 0.5488081574440002, 0.13155370950698853, -0.2629728317260742, -0.06450816988945007]",0,4,-4.6051188,2.2552547
A Simple Twist of Fate,"[-0.8129653930664062, 0.18025831878185272, -0.6578125357627869, -0.19979697465896606, 0.45007073879241943, -0.04513941705226898, 0.179421529173851, -0.15809065103530884, -0.11192886531352997, 0.219615638256073, -0.16214600205421448, -0.2740657925605774, 0.3685666024684906, 0.5380693078041077, -0.05498942360281944, 0.19054943323135376, -0.20551426708698273, 1.07288658618927, -0.5377727746963501, 0.8163508176803589, -0.3030170202255249, -0.8245987296104431, 0.2071676254272461, 0.7798522114753723, 0.4431370496749878, 0.5075781345367432, -0.3817736506462097, 0.22715896368026733, -0.41814789175987244, 0.2826654016971588, -1.128749132156372, 0.16416652500629425, 0.2409028857946396, 0.2018865942955017, 0.04278487712144852, -0.12102237343788147, 0.25430968403816223, -0.6582409143447876, 0.12507565319538116, 0.6553283929824829, 0.27607089281082153, 0.056388650089502335, 0.56982421875, -0.07394144684076309, 0.5530797243118286, -0.15505342185497284, -0.6241744756698608, -0.825255274772644, 0.8009642362594604, -0.5567770600318909, 0.05818842351436615, -0.4375627040863037, -0.5072171688079834, -0.6723142266273499, -0.3664161264896393, 0.6001412868499756, -0.14092755317687988, 0.7153868675231934, 0.06703631579875946, -0.9723700881004333, -1.242593765258789, 0.2504885494709015, 0.08797309547662735, 0.2917681634426117]",0,1,5.865543,-3.0842705
A Stranger Among Us,"[-0.9238580465316772, 0.3298579454421997, 0.04991115629673004, -0.02052186243236065, 0.380231648683548, 0.2869943678379059, 0.19344118237495422, -0.6573342680931091, -0.1362096220254898, -0.3000131845474243, 0.038520220667123795, -0.0012896833941340446, 0.8761860132217407, 0.14942991733551025, -0.49885934591293335, -0.532078742980957, 0.03236401453614235, 0.004600780084729195, -0.4010964035987854, -0.26178231835365295, -0.9631637334823608, -0.37483155727386475, -0.5680092573165894, 0.5878470540046692, -0.016460496932268143, 0.6950496435165405, -0.1671535223722458, -0.4332779347896576, 0.5508631467819214, -0.1840362548828125, -0.9614083170890808, -0.5422846674919128, -0.5392165184020996, 0.3847539722919464, -0.6360529065132141, 0.07008049637079239, 0.39335572719573975, -1.3067890405654907, 0.43246930837631226, 0.5861920714378357, 0.17923066020011902, 0.6494262218475342, 0.39514783024787903, -0.7334410548210144, -0.01694459281861782, -1.1859254837036133, -0.08936657011508942, -0.3913973867893219, 0.19469405710697174, 0.005132142920047045, -0.024728402495384216, 0.7975279092788696, -0.6391794681549072, 0.6863179802894592, -0.7661277055740356, -0.08577985316514969, -0.06145281344652176, 1.04318106174469, 0.5668740272521973, -0.11395241320133209, -0.18261103332042694, 0.6672236919403076, 0.045715682208538055, -0.6261816620826721]",0,4,-14.150624,-6.930846
